Rk.,,Pitcher,,Batter,Game Pitch #,Pitch,PA,Inning,Result,Pitch Type,Pitch Vel  (MPH),Spin (RPM),VBreak (In.),,HBreak (In.),
,,Tanner Houck,,Billy McKinney,,,,,,,,,,,,
189,,,,,83,27,20,3,Ball,4-Seam Fastball,95.5,2201,21,↓,10,→
,,Tanner Houck,,Billy McKinney,,,,,,,,,,,,
190,,,,,82,26,20,3,Swinging Strike,Splitter,89.7,1656,34,↓,10,→
,,Tanner Houck,,Billy McKinney,,,,,,,,,,,,
191,,,,,81,25,20,3,Ball,Slider,85.6,2604,37,↓,10,←
,,Tanner Houck,,Billy McKinney,,,,,,,,,,,,
192,,,,,80,48,19,3,"In play, out(s)",4-Seam Fastball,94.1,2702,16,↓,11,→
,,Domingo German,,Rafael Devers,,,,,,,,,,,,
193,,,,,79,47,19,3,Foul,Curveball,83.8,2825,37,↓,1,←
,,Domingo German,,Rafael Devers,,,,,,,,,,,,
194,,,,,77,46,19,3,Ball,4-Seam Fastball,94.7,2647,14,↓,10,→
,,Domingo German,,Rafael Devers,,,,,,,,,,,,
195,,,,,76,45,19,3,Swinging Strike,Curveball,82.9,2712,39,↓,2,←
,,Domingo German,,Rafael Devers,,,,,,,,,,,,
196,,,,,75,44,18,3,"In play, no out",Curveball,84.7,2620,35,↓,0,
,,Domingo German,,Justin Turner,,,,,,,,,,,,
197,,,,,74,43,18,3,Ball,4-Seam Fastball,92.3,2589,16,↓,10,→
,,Domingo German,,Justin Turner,,,,,,,,,,,,
198,,,,,73,42,18,3,Foul,4-Seam Fastball,92.7,2595,18,↓,9,→
,,Domingo German,,Justin Turner,,,,,,,,,,,,
199,,,,,72,41,18,3,Foul,Sinker,92.5,2488,24,↓,16,→
,,Domingo German,,Justin Turner,,,,,,,,,,,,
200,,,,,71,40,17,3,"In play, out(s)",Curveball,84.8,2804,37,↓,3,←
,,Domingo German,,Masataka Yoshida,,,,,,,,,,,,
201,,,,,70,39,17,3,Foul,4-Seam Fastball,92.4,2693,15,↓,14,→
,,Domingo German,,Masataka Yoshida,,,,,,,,,,,,
202,,,,,69,38,17,3,Called Strike,4-Seam Fastball,92.1,2646,14,↓,12,→
,,Domingo German,,Masataka Yoshida,,,,,,,,,,,,
203,,,,,68,37,16,3,"In play, out(s)",Changeup,87.1,2522,28,↓,20,→
,,Domingo German,,Alex Verdugo,,,,,,,,,,,,
204,,,,,66,36,16,3,Foul,4-Seam Fastball,91.9,2685,14,↓,10,→
,,Domingo German,,Alex Verdugo,,,,,,,,,,,,
205,,,,,65,35,16,3,Foul,4-Seam Fastball,91.3,2664,16,↓,9,→
,,Domingo German,,Alex Verdugo,,,,,,,,,,,,
206,,,,,64,34,16,3,Ball,Curveball,82.6,2775,39,↓,4,←
,,Domingo German,,Alex Verdugo,,,,,,,,,,,,
207,,,,,63,33,16,3,Ball,Sinker,91.8,2571,23,↓,20,→
,,Domingo German,,Alex Verdugo,,,,,,,,,,,,
208,,,,,62,24,15,2,"In play, out(s)",Splitter,89,1535,25,↓,9,→
,,Tanner Houck,,DJ LeMahieu,,,,,,,,,,,,
209,,,,,61,23,15,2,Called Strike,Sinker,95.2,2134,30,↓,12,→
,,Tanner Houck,,DJ LeMahieu,,,,,,,,,,,,
210,,,,,60,22,14,2,Called Strike,Slider,83.9,2542,40,↓,13,←
,,Tanner Houck,,Jake Bauers,,,,,,,,,,,,
211,,,,,59,21,14,2,Foul,Splitter,89.2,1528,33,↓,10,→
,,Tanner Houck,,Jake Bauers,,,,,,,,,,,,
212,,,,,57,20,14,2,Ball,Splitter,89.3,1390,33,↓,11,→
,,Tanner Houck,,Jake Bauers,,,,,,,,,,,,
213,,,,,56,19,14,2,Ball,Slider,83.9,2384,45,↓,9,←
,,Tanner Houck,,Jake Bauers,,,,,,,,,,,,
214,,,,,55,18,14,2,Ball,Slider,84.2,2550,41,↓,10,←
,,Tanner Houck,,Jake Bauers,,,,,,,,,,,,
215,,,,,54,17,14,2,Foul,Sinker,94.9,2203,28,↓,17,→
,,Tanner Houck,,Jake Bauers,,,,,,,,,,,,
216,,,,,53,16,14,2,Swinging Strike,Slider,83.9,2493,42,↓,12,←
,,Tanner Houck,,Jake Bauers,,,,,,,,,,,,
217,,,,,52,15,13,2,"In play, out(s)",Slider,84.9,2601,40,↓,11,←
,,Tanner Houck,,Giancarlo Stanton,,,,,,,,,,,,
218,,,,,51,14,13,2,Ball,Slider,84.6,2503,39,↓,10,←
,,Tanner Houck,,Giancarlo Stanton,,,,,,,,,,,,
219,,,,,50,13,13,2,Called Strike,Slider,85.3,2598,39,↓,12,←
,,Tanner Houck,,Giancarlo Stanton,,,,,,,,,,,,
220,,,,,49,12,13,2,Called Strike,Slider,84.4,2632,42,↓,13,←
,,Tanner Houck,,Giancarlo Stanton,,,,,,,,,,,,
221,,,,,48,11,13,2,Ball,Sinker,94.9,2217,34,↓,18,→
,,Tanner Houck,,Giancarlo Stanton,,,,,,,,,,,,
222,,,,,47,10,13,2,Ball,Sinker,94.8,2031,27,↓,16,→
,,Tanner Houck,,Giancarlo Stanton,,,,,,,,,,,,
223,,,,,46,32,12,2,"In play, out(s)",Changeup,87.4,2476,28,↓,18,→
,,Domingo German,,Enrique Hernandez,,,,,,,,,,,,
224,,,,,45,31,12,2,Ball,Curveball,85,2896,36,↓,3,←
,,Domingo German,,Enrique Hernandez,,,,,,,,,,,,
225,,,,,44,30,12,2,Ball,Sinker,93.8,2509,23,↓,17,→
,,Domingo German,,Enrique Hernandez,,,,,,,,,,,,
226,,,,,43,29,12,2,Ball,Curveball,85.6,2916,35,↓,2,←
,,Domingo German,,Enrique Hernandez,,,,,,,,,,,,
227,,,,,42,28,12,2,Called Strike,Curveball,84.8,2646,36,↓,2,←
,,Domingo German,,Enrique Hernandez,,,,,,,,,,,,
228,,,,,41,27,11,2,"In play, no out",4-Seam Fastball,93.5,2585,15,↓,12,→
,,Domingo German,,Reese McGuire,,,,,,,,,,,,
229,,,,,39,26,10,2,"In play, out(s)",Sinker,92.7,2480,21,↓,17,→
,,Domingo German,,Christian Arroyo,,,,,,,,,,,,
230,,,,,38,25,9,2,Ball,Curveball,83.1,2635,38,↓,1,←
,,Domingo German,,Triston Casas,,,,,,,,,,,,
231,,,,,37,24,9,2,Ball,Changeup,86.2,2487,26,↓,20,→
,,Domingo German,,Triston Casas,,,,,,,,,,,,
232,,,,,36,23,9,2,Ball,Sinker,93.1,2596,22,↓,18,→
,,Domingo German,,Triston Casas,,,,,,,,,,,,
233,,,,,35,22,9,2,Ball,Curveball,83.8,2742,39,↓,0,
,,Domingo German,,Triston Casas,,,,,,,,,,,,
234,,,,,34,21,9,2,Called Strike,Curveball,83.9,2816,36,↓,1,→
,,Domingo German,,Triston Casas,,,,,,,,,,,,
235,,,,,33,20,8,2,"In play, out(s)",Sinker,92.4,2547,23,↓,17,→
,,Domingo German,,Adam Duvall,,,,,,,,,,,,
236,,,,,32,19,8,2,Called Strike,Curveball,82,2641,39,↓,1,←
,,Domingo German,,Adam Duvall,,,,,,,,,,,,
237,,,,,31,9,7,1,Swinging Strike,Splitter,89.5,1730,28,↓,11,→
,,Tanner Houck,,Willie Calhoun,,,,,,,,,,,,
238,,,,,30,8,7,1,Called Strike,Sinker,93.9,2222,30,↓,15,→
,,Tanner Houck,,Willie Calhoun,,,,,,,,,,,,
239,,,,,29,7,7,1,Ball,Slider,84.9,2555,42,↓,7,←
,,Tanner Houck,,Willie Calhoun,,,,,,,,,,,,
240,,,,,28,6,7,1,Called Strike,4-Seam Fastball,94.3,2274,23,↓,9,→
,,Tanner Houck,,Willie Calhoun,,,,,,,,,,,,
241,,,,,27,5,6,1,Swinging Strike,4-Seam Fastball,95.3,2161,20,↓,9,→
,,Tanner Houck,,Josh Donaldson,,,,,,,,,,,,
242,,,,,26,4,6,1,Ball,Slider,84.9,2534,42,↓,8,←
,,Tanner Houck,,Josh Donaldson,,,,,,,,,,,,
243,,,,,24,3,6,1,Swinging Strike,Slider,85.4,2630,40,↓,9,←
,,Tanner Houck,,Josh Donaldson,,,,,,,,,,,,
244,,,,,23,2,6,1,Called Strike,Sinker,93.8,2236,32,↓,15,→
,,Tanner Houck,,Josh Donaldson,,,,,,,,,,,,
245,,,,,22,1,5,1,"In play, out(s)",Sinker,94.6,2117,31,↓,15,→
,,Tanner Houck,,Gleyber Torres,,,,,,,,,,,,
246,,,,,21,18,4,1,Swinging Strike,Curveball,84.6,2820,36,↓,0,
,,Domingo German,,Rafael Devers,,,,,,,,,,,,
247,,,,,20,17,4,1,Foul,4-Seam Fastball,94.5,2563,13,↓,12,→
,,Domingo German,,Rafael Devers,,,,,,,,,,,,
248,,,,,19,16,4,1,Foul,Changeup,86.3,2345,27,↓,19,→
,,Domingo German,,Rafael Devers,,,,,,,,,,,,
249,,,,,18,15,4,1,Ball,Sinker,93.4,2466,24,↓,18,→
,,Domingo German,,Rafael Devers,,,,,,,,,,,,
250,,,,,17,14,4,1,Ball In Dirt,Curveball,86,2840,32,↓,1,→
,,Domingo German,,Rafael Devers,,,,,,,,,,,,
251,,,,,16,13,4,1,Swinging Strike,Curveball,82.7,2803,36,↓,1,→
,,Domingo German,,Rafael Devers,,,,,,,,,,,,
252,,,,,15,12,3,1,"In play, no out",Changeup,86.1,2347,29,↓,16,→
,,Domingo German,,Justin Turner,,,,,,,,,,,,
253,,,,,14,11,3,1,Ball,Curveball,84.2,2726,36,↓,4,←
,,Domingo German,,Justin Turner,,,,,,,,,,,,
254,,,,,13,10,3,1,Ball,Curveball,84.9,2692,34,↓,0,
,,Domingo German,,Justin Turner,,,,,,,,,,,,
255,,,,,12,9,3,1,Foul,4-Seam Fastball,92.7,2478,17,↓,10,→
,,Domingo German,,Justin Turner,,,,,,,,,,,,
256,,,,,11,8,2,1,Swinging Strike,Changeup,87,2410,28,↓,17,→
,,Domingo German,,Masataka Yoshida,,,,,,,,,,,,
257,,,,,10,7,2,1,Called Strike,4-Seam Fastball,92.1,2526,16,↓,11,→
,,Domingo German,,Masataka Yoshida,,,,,,,,,,,,
258,,,,,9,6,2,1,Called Strike,Curveball,80.6,2614,39,↓,0,
,,Domingo German,,Masataka Yoshida,,,,,,,,,,,,
259,,,,,8,5,2,1,Ball,Curveball,81.5,2623,39,↓,0,
,,Domingo German,,Masataka Yoshida,,,,,,,,,,,,
260,,,,,7,4,1,1,"In play, out(s)",4-Seam Fastball,90.5,2517,17,↓,10,→
,,Domingo German,,Alex Verdugo,,,,,,,,,,,,
261,,,,,6,3,1,1,Called Strike,Changeup,84.7,2356,29,↓,17,→
,,Domingo German,,Alex Verdugo,,,,,,,,,,,,
262,,,,,5,2,1,1,Ball,4-Seam Fastball,91.2,2486,17,↓,11,→
,,Domingo German,,Alex Verdugo,,,,,,,,,,,,
263,,,,,4,1,1,1,Ball,4-Seam Fastball,91.8,2491,17,↓,11,→
,,Domingo German,,Alex Verdugo,,,,,,,,,,,,
1,,,,,317,13,73,10,Swinging Strike,Cutter,92.6,2103,24,↓,2,←
,,Chris Martin,,Anthony Volpe,,,,,,,,,,,,
2,,,,,316,12,73,10,Foul,4-Seam Fastball,96.7,2162,18,↓,4,→
,,Chris Martin,,Anthony Volpe,,,,,,,,,,,,
3,,,,,315,11,73,10,Called Strike,Sinker,95.2,2075,22,↓,14,→
,,Chris Martin,,Anthony Volpe,,,,,,,,,,,,
4,,,,,314,10,73,10,Called Strike,Sinker,95,1973,23,↓,14,→
,,Chris Martin,,Anthony Volpe,,,,,,,,,,,,
5,,,,,313,9,72,10,Swinging Strike,4-Seam Fastball,96.8,2087,15,↓,5,→
,,Chris Martin,,Jose Trevino,,,,,,,,,,,,
6,,,,,312,8,72,10,Foul,Splitter,87.2,1138,36,↓,6,→
,,Chris Martin,,Jose Trevino,,,,,,,,,,,,
7,,,,,311,7,72,10,Foul,Sinker,94,2053,22,↓,14,→
,,Chris Martin,,Jose Trevino,,,,,,,,,,,,
8,,,,,310,6,72,10,Ball,Cutter,91.9,2087,26,↓,3,←
,,Chris Martin,,Jose Trevino,,,,,,,,,,,,
9,,,,,308,5,72,10,Foul,Cutter,92.1,2103,28,↓,1,←
,,Chris Martin,,Jose Trevino,,,,,,,,,,,,
10,,,,,307,4,71,10,"In play, out(s)",Cutter,93.3,2175,23,↓,2,←
,,Chris Martin,,Billy McKinney,,,,,,,,,,,,
11,,,,,306,3,71,10,Ball,4-Seam Fastball,96.5,2280,15,↓,5,→
,,Chris Martin,,Billy McKinney,,,,,,,,,,,,
12,,,,,305,2,71,10,Swinging Strike,Cutter,93.2,2212,23,↓,5,←
,,Chris Martin,,Billy McKinney,,,,,,,,,,,,
13,,,,,304,1,71,10,Swinging Strike,Cutter,91.7,2231,24,↓,5,←
,,Chris Martin,,Billy McKinney,,,,,,,,,,,,
14,,,,,300,12,70,10,"In play, out(s)",4-Seam Fastball,93.9,2447,16,↓,12,→
,,Ron Marinaccio,,Pablo Reyes,,,,,,,,,,,,
15,,,,,299,11,69,10,"In play, out(s)",4-Seam Fastball,94.3,2369,17,↓,11,→
,,Ron Marinaccio,,Connor Wong,,,,,,,,,,,,
16,,,,,298,10,69,10,Ball,Changeup,81.5,1888,36,↓,13,→
,,Ron Marinaccio,,Connor Wong,,,,,,,,,,,,
17,,,,,297,9,69,10,Ball,Changeup,82.5,2191,34,↓,15,→
,,Ron Marinaccio,,Connor Wong,,,,,,,,,,,,
18,,,,,294,8,69,10,Ball,Changeup,82.6,2263,36,↓,15,→
,,Ron Marinaccio,,Connor Wong,,,,,,,,,,,,
19,,,,,293,7,69,10,Called Strike,4-Seam Fastball,93,2302,16,↓,9,→
,,Ron Marinaccio,,Connor Wong,,,,,,,,,,,,
20,,,,,292,6,68,10,"In play, run(s)",Sweeper,81.9,2274,41,↓,9,←
,,Ron Marinaccio,,Enrique Hernandez,,,,,,,,,,,,
21,,,,,291,5,68,10,Ball,Changeup,84.3,2339,35,↓,15,→
,,Ron Marinaccio,,Enrique Hernandez,,,,,,,,,,,,
22,,,,,290,4,68,10,Foul,Changeup,82.3,2095,39,↓,15,→
,,Ron Marinaccio,,Enrique Hernandez,,,,,,,,,,,,
23,,,,,289,3,67,10,"In play, out(s)",4-Seam Fastball,94,2283,14,↓,10,→
,,Ron Marinaccio,,Triston Casas,,,,,,,,,,,,
24,,,,,288,2,67,10,Ball In Dirt,Changeup,85.1,2242,31,↓,21,→
,,Ron Marinaccio,,Triston Casas,,,,,,,,,,,,
25,,,,,287,1,67,10,Called Strike,4-Seam Fastball,93.8,2283,15,↓,13,→
,,Ron Marinaccio,,Triston Casas,,,,,,,,,,,,
26,,,,,283,10,66,9,"In play, out(s)",Sinker,94.3,2222,13,↓,9,→
,,Kenley Jansen,,DJ LeMahieu,,,,,,,,,,,,
27,,,,,282,9,66,9,Called Strike,Cutter,94.8,2753,12,↓,3,←
,,Kenley Jansen,,DJ LeMahieu,,,,,,,,,,,,
28,,,,,281,8,65,9,"In play, out(s)",Slider,83.4,2493,44,↓,7,←
,,Kenley Jansen,,Jake Bauers,,,,,,,,,,,,
29,,,,,280,7,65,9,Called Strike,Cutter,93.9,2656,12,↓,1,←
,,Kenley Jansen,,Jake Bauers,,,,,,,,,,,,
30,,,,,279,6,65,9,Ball,Sinker,94.5,2267,14,↓,13,→
,,Kenley Jansen,,Jake Bauers,,,,,,,,,,,,
31,,,,,278,5,65,9,Called Strike,Cutter,94.5,2690,11,↓,2,←
,,Kenley Jansen,,Jake Bauers,,,,,,,,,,,,
32,,,,,277,4,64,9,Swinging Strike,Cutter,94.3,2654,12,↓,3,←
,,Kenley Jansen,,Josh Donaldson,,,,,,,,,,,,
33,,,,,276,3,64,9,Swinging Strike,Slider,83.2,2248,43,↓,7,←
,,Kenley Jansen,,Josh Donaldson,,,,,,,,,,,,
34,,,,,275,2,64,9,Foul,Cutter,94.1,2694,12,↓,1,→
,,Kenley Jansen,,Josh Donaldson,,,,,,,,,,,,
35,,,,,274,1,64,9,Ball,Cutter,93.6,2593,12,↓,4,←
,,Kenley Jansen,,Josh Donaldson,,,,,,,,,,,,
36,,,,,272,9,63,9,"In play, out(s)",Sinker,96.7,2125,24,↓,14,→
,,Clay Holmes,,Justin Turner,,,,,,,,,,,,
37,,,,,271,8,63,9,Ball,Sinker,96.2,2254,23,↓,16,→
,,Clay Holmes,,Justin Turner,,,,,,,,,,,,
38,,,,,270,7,62,9,"In play, no out",Sinker,98.4,2236,25,↓,19,→
,,Clay Holmes,,Rafael Devers,,,,,,,,,,,,
39,,,,,269,6,62,9,Called Strike,Sinker,97.3,2115,26,↓,18,→
,,Clay Holmes,,Rafael Devers,,,,,,,,,,,,
40,,,,,268,5,61,9,"In play, out(s)",Sinker,98.5,2226,26,↓,18,→
,,Clay Holmes,,Masataka Yoshida,,,,,,,,,,,,
41,,,,,267,4,61,9,Foul,Slider,88.9,2644,41,↓,3,←
,,Clay Holmes,,Masataka Yoshida,,,,,,,,,,,,
42,,,,,266,3,61,9,Foul,Sinker,98.2,2215,27,↓,15,→
,,Clay Holmes,,Masataka Yoshida,,,,,,,,,,,,
43,,,,,265,2,61,9,Foul,Sinker,97.2,2234,26,↓,13,→
,,Clay Holmes,,Masataka Yoshida,,,,,,,,,,,,
44,,,,,264,1,61,9,Called Strike,Sinker,96.7,2257,25,↓,17,→
,,Clay Holmes,,Masataka Yoshida,,,,,,,,,,,,
45,,,,,261,12,60,8,"In play, out(s)",4-Seam Fastball,95.8,2381,10,↓,3,→
,,Nick Pivetta,,Anthony Rizzo,,,,,,,,,,,,
46,,,,,259,11,59,8,Ball,4-Seam Fastball,97.3,2426,9,↓,4,→
,,Nick Pivetta,,Gleyber Torres,,,,,,,,,,,,
47,,,,,258,10,59,8,Foul,4-Seam Fastball,97.1,2361,10,↓,3,→
,,Nick Pivetta,,Gleyber Torres,,,,,,,,,,,,
48,,,,,257,9,59,8,Ball,4-Seam Fastball,96.7,2405,9,↓,1,→
,,Nick Pivetta,,Gleyber Torres,,,,,,,,,,,,
49,,,,,256,8,59,8,Ball,Curveball,78.8,2782,62,↓,10,←
,,Nick Pivetta,,Gleyber Torres,,,,,,,,,,,,
50,,,,,255,7,59,8,Ball,Curveball,80.9,2749,60,↓,8,←
,,Nick Pivetta,,Gleyber Torres,,,,,,,,,,,,
51,,,,,254,6,58,8,"In play, out(s)",Sweeper,85.1,2617,34,↓,10,←
,,Nick Pivetta,,Isiah Kiner-Falefa,,,,,,,,,,,,
52,,,,,253,5,58,8,Ball,4-Seam Fastball,97,2340,11,↓,1,←
,,Nick Pivetta,,Isiah Kiner-Falefa,,,,,,,,,,,,
53,,,,,252,4,58,8,Called Strike,Slider,90.7,2554,29,↓,7,←
,,Nick Pivetta,,Isiah Kiner-Falefa,,,,,,,,,,,,
54,,,,,251,3,58,8,Foul,4-Seam Fastball,95.4,2456,11,↓,1,→
,,Nick Pivetta,,Isiah Kiner-Falefa,,,,,,,,,,,,
55,,,,,250,2,57,8,"In play, out(s)",Curveball,80.8,2987,58,↓,8,←
,,Nick Pivetta,,Giancarlo Stanton,,,,,,,,,,,,
56,,,,,249,1,57,8,Ball,Curveball,81.3,2694,59,↓,6,←
,,Nick Pivetta,,Giancarlo Stanton,,,,,,,,,,,,
57,,,,,245,4,56,8,"In play, out(s)",Changeup,90.5,2298,30,↓,15,←
,,Wandy Peralta,,Alex Verdugo,,,,,,,,,,,,
58,,,,,244,3,56,8,Ball In Dirt,Sinker,96,2090,21,↓,18,←
,,Wandy Peralta,,Alex Verdugo,,,,,,,,,,,,
59,,,,,243,2,56,8,Ball,Sinker,96.1,2130,20,↓,17,←
,,Wandy Peralta,,Alex Verdugo,,,,,,,,,,,,
60,,,,,242,1,56,8,Swinging Strike,Sinker,95.1,2196,20,↓,18,←
,,Wandy Peralta,,Alex Verdugo,,,,,,,,,,,,
61,,,,,239,22,55,8,"In play, run(s)",Changeup,87.5,2144,32,↓,16,→
,,Michael King,,Jarren Duran,,,,,,,,,,,,
62,,,,,238,21,55,8,Ball In Dirt,Sweeper,82.2,2921,42,↓,20,←
,,Michael King,,Jarren Duran,,,,,,,,,,,,
63,,,,,237,20,55,8,Ball,Changeup,87.2,2063,27,↓,14,→
,,Michael King,,Jarren Duran,,,,,,,,,,,,
64,,,,,236,19,55,8,Foul,Changeup,86.3,2129,28,↓,16,→
,,Michael King,,Jarren Duran,,,,,,,,,,,,
65,,,,,234,18,54,8,"In play, out(s)",Sweeper,80.4,2731,39,↓,18,←
,,Michael King,,Pablo Reyes,,,,,,,,,,,,
66,,,,,232,17,54,8,Called Strike,Sweeper,80.8,2646,38,↓,16,←
,,Michael King,,Pablo Reyes,,,,,,,,,,,,
67,,,,,230,16,53,8,Ball In Dirt,Sweeper,81.4,2791,43,↓,20,←
,,Michael King,,Reese McGuire,,,,,,,,,,,,
68,,,,,229,15,53,8,Called Strike,Sinker,93.4,2274,27,↓,15,→
,,Michael King,,Reese McGuire,,,,,,,,,,,,
69,,,,,228,14,53,8,Ball,Sweeper,79.6,2809,45,↓,21,←
,,Michael King,,Reese McGuire,,,,,,,,,,,,
70,,,,,227,13,53,8,Ball,Changeup,87.2,2180,33,↓,18,→
,,Michael King,,Reese McGuire,,,,,,,,,,,,
71,,,,,226,12,53,8,Ball,Sweeper,79.7,2743,44,↓,19,←
,,Michael King,,Reese McGuire,,,,,,,,,,,,
72,,,,,224,11,52,8,"In play, no out",Sweeper,81.6,2794,43,↓,22,←
,,Michael King,,Enrique Hernandez,,,,,,,,,,,,
73,,,,,222,10,52,8,Called Strike,Sweeper,81.4,2776,41,↓,20,←
,,Michael King,,Enrique Hernandez,,,,,,,,,,,,
74,,,,,221,9,52,8,Swinging Strike,4-Seam Fastball,93.2,2331,20,↓,3,→
,,Michael King,,Enrique Hernandez,,,,,,,,,,,,
75,,,,,220,8,52,8,Ball,Sweeper,80.5,2748,43,↓,18,←
,,Michael King,,Enrique Hernandez,,,,,,,,,,,,
76,,,,,219,98,51,7,"In play, out(s)",Slider,84.3,2240,47,↓,2,←
,,Brayan Bello,,Jose Trevino,,,,,,,,,,,,
77,,,,,218,97,51,7,Ball,Sinker,94.9,1926,30,↓,18,→
,,Brayan Bello,,Jose Trevino,,,,,,,,,,,,
78,,,,,217,96,50,7,"In play, out(s)",Changeup,87.5,1659,37,↓,16,→
,,Brayan Bello,,Billy McKinney,,,,,,,,,,,,
79,,,,,216,95,50,7,Called Strike,Sinker,95.1,1940,30,↓,17,→
,,Brayan Bello,,Billy McKinney,,,,,,,,,,,,
80,,,,,215,94,50,7,Called Strike,Slider,83.6,2216,47,↓,5,←
,,Brayan Bello,,Billy McKinney,,,,,,,,,,,,
81,,,,,214,93,50,7,Ball,Sinker,95.5,1912,31,↓,16,→
,,Brayan Bello,,Billy McKinney,,,,,,,,,,,,
82,,,,,213,92,49,7,"In play, out(s)",Changeup,86.2,1660,35,↓,16,→
,,Brayan Bello,,DJ LeMahieu,,,,,,,,,,,,
83,,,,,212,91,49,7,Foul,Changeup,85.7,1614,40,↓,14,→
,,Brayan Bello,,DJ LeMahieu,,,,,,,,,,,,
84,,,,,211,90,49,7,Foul,Sinker,94.1,1943,28,↓,14,→
,,Brayan Bello,,DJ LeMahieu,,,,,,,,,,,,
85,,,,,210,89,49,7,Ball,Sinker,95.4,1971,26,↓,16,→
,,Brayan Bello,,DJ LeMahieu,,,,,,,,,,,,
86,,,,,209,88,49,7,Ball,Changeup,86.6,1702,36,↓,14,→
,,Brayan Bello,,DJ LeMahieu,,,,,,,,,,,,
87,,,,,208,87,49,7,Foul,4-Seam Fastball,96.1,2032,18,↓,9,→
,,Brayan Bello,,DJ LeMahieu,,,,,,,,,,,,
88,,,,,207,86,49,7,Called Strike,Sinker,94.7,2057,29,↓,17,→
,,Brayan Bello,,DJ LeMahieu,,,,,,,,,,,,
89,,,,,206,7,48,7,"In play, out(s)",Sinker,93.5,2249,24,↓,12,→
,,Michael King,,Triston Casas,,,,,,,,,,,,
90,,,,,205,6,48,7,Ball,Sinker,94.5,2259,25,↓,15,→
,,Michael King,,Triston Casas,,,,,,,,,,,,
91,,,,,204,5,47,7,Ball,Sweeper,82.2,2799,42,↓,21,←
,,Michael King,,Justin Turner,,,,,,,,,,,,
92,,,,,203,4,47,7,Ball,Sweeper,81.8,2793,41,↓,23,←
,,Michael King,,Justin Turner,,,,,,,,,,,,
93,,,,,202,3,47,7,Swinging Strike,Sweeper,79.9,2825,46,↓,22,←
,,Michael King,,Justin Turner,,,,,,,,,,,,
94,,,,,201,2,47,7,Ball,Sinker,94,2271,22,↓,14,→
,,Michael King,,Justin Turner,,,,,,,,,,,,
95,,,,,200,1,47,7,Ball,Sweeper,79,2727,47,↓,22,←
,,Michael King,,Justin Turner,,,,,,,,,,,,
96,,,,,197,8,46,7,"In play, out(s)",Sinker,90.3,2030,29,↓,19,←
,,Nick Ramirez,,Rafael Devers,,,,,,,,,,,,
97,,,,,196,7,46,7,Called Strike,Sinker,88.9,2028,28,↓,18,←
,,Nick Ramirez,,Rafael Devers,,,,,,,,,,,,
98,,,,,195,6,46,7,Ball,Sinker,89.4,1980,29,↓,17,←
,,Nick Ramirez,,Rafael Devers,,,,,,,,,,,,
99,,,,,193,85,45,6,Ball,Slider,85.1,2265,44,↓,2,←
,,Brayan Bello,,DJ LeMahieu,,,,,,,,,,,,
100,,,,,192,84,45,6,Ball,4-Seam Fastball,95.6,2112,19,↓,9,→
,,Brayan Bello,,DJ LeMahieu,,,,,,,,,,,,
101,,,,,191,83,44,6,"In play, out(s)",Changeup,85.9,1818,34,↓,14,→
,,Brayan Bello,,Jake Bauers,,,,,,,,,,,,
102,,,,,190,82,44,6,Ball,4-Seam Fastball,94.8,1955,20,↓,7,→
,,Brayan Bello,,Jake Bauers,,,,,,,,,,,,
103,,,,,189,81,44,6,Swinging Strike,Changeup,86,1812,35,↓,15,→
,,Brayan Bello,,Jake Bauers,,,,,,,,,,,,
104,,,,,188,80,43,6,"In play, out(s)",Slider,84.9,2094,43,↓,2,←
,,Brayan Bello,,Josh Donaldson,,,,,,,,,,,,
105,,,,,187,79,43,6,Ball,Sinker,94,1940,29,↓,16,→
,,Brayan Bello,,Josh Donaldson,,,,,,,,,,,,
106,,,,,186,78,43,6,Foul,Sinker,94.6,1891,28,↓,16,→
,,Brayan Bello,,Josh Donaldson,,,,,,,,,,,,
107,,,,,185,77,42,6,Ball,Changeup,85.5,1587,38,↓,12,→
,,Brayan Bello,,Anthony Rizzo,,,,,,,,,,,,
108,,,,,184,76,42,6,Foul,Sinker,94.7,1982,27,↓,14,→
,,Brayan Bello,,Anthony Rizzo,,,,,,,,,,,,
109,,,,,182,75,42,6,Ball,Changeup,85.4,1888,36,↓,15,→
,,Brayan Bello,,Anthony Rizzo,,,,,,,,,,,,
110,,,,,181,74,42,6,Ball,Changeup,86.2,1759,37,↓,14,→
,,Brayan Bello,,Anthony Rizzo,,,,,,,,,,,,
111,,,,,180,73,42,6,Ball,Slider,84.6,2226,43,↓,1,←
,,Brayan Bello,,Anthony Rizzo,,,,,,,,,,,,
112,,,,,179,5,41,6,"In play, out(s)",Sinker,90.1,2072,35,↓,18,←
,,Nick Ramirez,,Masataka Yoshida,,,,,,,,,,,,
113,,,,,178,4,41,6,Called Strike,Sinker,89.8,2009,32,↓,15,←
,,Nick Ramirez,,Masataka Yoshida,,,,,,,,,,,,
114,,,,,177,3,40,6,"In play, out(s)",Sweeper,80.6,2529,45,↓,11,→
,,Nick Ramirez,,Alex Verdugo,,,,,,,,,,,,
115,,,,,176,2,40,6,Foul,Sweeper,78.9,2523,45,↓,20,→
,,Nick Ramirez,,Alex Verdugo,,,,,,,,,,,,
116,,,,,175,1,40,6,Called Strike,Sinker,88.8,2069,35,↓,21,←
